,Stanowisko,Szacunkowe Wynagrodzenie,Nazwa Firmy,Lokacja-Miasto,Lokacja-Stan,Minimalne Wyn. Roczne,Maksymalne Wyn. Roczne,Średnie Wyn. Roczne,Branża,Sektor,Przychód
372,Senior LiDAR Data Scientist,$93K-$151K (Glassdoor est.),Luminar Technologies,Orlando,FL,93000,151000,122000.0,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
373,Salesforce Analytics Consultant,$52K-$81K (Glassdoor est.),"Emtec, Inc.",Chicago,IL,52000,81000,66500.0,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
374,"Technology-Minded, Data Professional Opportunities",$40K-$101K (Glassdoor est.),Veterans United Home Loans,Columbia,MO,40000,101000,70500.0,Lending,Finance,Unknown / Non-Applicable
375,Senior Data Engineer,$97K-$180K (Glassdoor est.),Praetorian,Austin,TX,97000,180000,138500.0,Security Services,Business Services,$10 to $25 million (USD)
376,Managing Data Scientist/ML Engineer,$81K-$134K (Glassdoor est.),PA Consulting,Boston,MA,81000,134000,107500.0,Consulting,Business Services,$100 to $500 million (USD)
377,"Scientist, Pharmacometrics",$84K-$157K (Glassdoor est.),Agios Pharmaceuticals,Cambridge,MA,84000,157000,120500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD)
378,Staff Scientist- Upstream PD,$49K-$113K (Glassdoor est.),Advanced BioScience Laboratories,Rockville,MD,49000,113000,81000.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD)
379,Scientist Manufacturing Pharma - Kentucky BioProcessing,$68K-$139K (Glassdoor est.),Reynolds American,Owensboro,KY,68000,139000,103500.0,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
380,Sr. Data Engineer,$75K-$140K (Glassdoor est.),Echo Global Logistics,Chicago,IL,75000,140000,107500.0,Transportation Management,Transportation & Logistics,$2 to $5 billion (USD)
381,Lead Big Data Engineer,$121K-$203K (Glassdoor est.),Glassdoor,San Francisco,CA,121000,203000,162000.0,Internet,Information Technology,Unknown / Non-Applicable
382,Product Engineer – Spatial Data Science and Statistical Analysis,$52K-$85K (Glassdoor est.),Esri,Redlands,CA,52000,85000,68500.0,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
383,Sr Software Engineer (Data Scientist),$81K-$140K (Glassdoor est.),Assurant,Westlake,OH,81000,140000,110500.0,Insurance Carriers,Insurance,$5 to $10 billion (USD)
384,College Hire - Data Scientist - Open to December 2019 Graduates,$63K-$99K (Glassdoor est.),Caterpillar,Peoria,IL,63000,99000,81000.0,Industrial Manufacturing,Manufacturing,$10+ billion (USD)
385,Senior Data Scientist,$110K-$150K(Employer est.),Equity Residential,Chicago,IL,110000,150000,130000.0,Real Estate,Real Estate,$2 to $5 billion (USD)
386,Sr. Data Engineer (ETL Developer),$83K-$148K (Glassdoor est.),F&G,Des Moines,IA,83000,148000,115500.0,Insurance Carriers,Insurance,$100 to $500 million (USD)
387,Senior Data Scientist Artificial Intelligence,$60K-$101K (Glassdoor est.),PNNL,Richland,WA,60000,101000,80500.0,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD)
388,Analytics - Business Assurance Data Analyst,$31K-$55K (Glassdoor est.),GreatAmerica Financial Services,Cedar Rapids,IA,31000,55000,43000.0,Lending,Finance,$100 to $500 million (USD)
389,"Associate Director/Director, Safety Scientist",$102K-$178K (Glassdoor est.),Acceleron Pharma,Cambridge,MA,102000,178000,140000.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
390,Data Analyst Senior,$48K-$85K (Glassdoor est.),AmeriHealth Caritas,Philadelphia,PA,48000,85000,66500.0,Insurance Carriers,Insurance,$5 to $10 billion (USD)
391,Lead Data Engineer (Python),$66K-$123K (Glassdoor est.),Strategic Employment Partners,San Francisco,CA,66000,123000,94500.0,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
392,Senior Data Scientist 4 Artificial Intelligence,$92K-$146K (Glassdoor est.),PNNL,Seattle,WA,92000,146000,119000.0,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD)
393,"Director II, Data Science - GRS Predictive Analytics",$150K-$239K (Glassdoor est.),Liberty Mutual Insurance,Chicago,IL,150000,239000,194500.0,Insurance Carriers,Insurance,$10+ billion (USD)
394,RESEARCH COMPUTER SCIENTIST - RESEARCH ENGINEER - SR. COMPUTER SCIENTIST - SOFTWARE DEVELOPMENT,$52K-$91K (Glassdoor est.),Southwest Research Institute,San Antonio,TX,52000,91000,71500.0,Research & Development,Business Services,$500 million to $1 billion (USD)
395,Geospatial Software Developer and Data Scientist,$82K-$129K(Employer est.),Applied Research Laboratories,Austin,TX,82000,129000,105500.0,Colleges & Universities,Education,Unknown / Non-Applicable
396,Senior Scientist - Toxicologist - Product Integrity (Stewardship),$47K-$101K (Glassdoor est.),Reynolds American,Winston-Salem,NC,47000,101000,74000.0,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
397,Systems Engineer II - Data Analyst,$49K-$76K (Glassdoor est.),Raytheon,Huntsville,AL,49000,76000,62500.0,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
398,Senior Research Analytical Scientist-Non-Targeted Analysis,$43K-$88K (Glassdoor est.),RTI International,Durham,NC,43000,88000,65500.0,Research & Development,Business Services,$500 million to $1 billion (USD)
399,Director Data Science,$124K-$199K (Glassdoor est.),TRANZACT,Fort Lee,NJ,124000,199000,161500.0,Advertising & Marketing,Business Services,Unknown / Non-Applicable
