,Stanowisko,Szacunkowe Wynagrodzenie,Nazwa Firmy,Lokacja-Miasto,Lokacja-Stan,Minimalne Wyn. Roczne,Maksymalne Wyn. Roczne,Średnie Wyn. Roczne,Branża,Sektor,Przychód
566,Senior Data Engineer,$97K-$180K (Glassdoor est.),Praetorian,Austin,TX,97000,180000,138500.0,Security Services,Business Services,$10 to $25 million (USD)
567,Staff Scientist- Upstream PD,$49K-$113K (Glassdoor est.),Advanced BioScience Laboratories,Rockville,MD,49000,113000,81000.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD)
568,Data Engineering Analyst,$44K-$73K (Glassdoor est.),COUNTRY Financial,Bloomington,IL,44000,73000,58500.0,Insurance Carriers,Insurance,$2 to $5 billion (USD)
569,Sr. Data Engineer,$75K-$140K (Glassdoor est.),Echo Global Logistics,Chicago,IL,75000,140000,107500.0,Transportation Management,Transportation & Logistics,$2 to $5 billion (USD)
570,"Scientist, Pharmacometrics",$84K-$157K (Glassdoor est.),Agios Pharmaceuticals,Cambridge,MA,84000,157000,120500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD)
571,Manager of Data Science,$40K-$87K (Glassdoor est.),Tapjoy,San Francisco,CA,40000,87000,63500.0,Internet,Information Technology,$10 to $25 million (USD)
572,Scientist Manufacturing Pharma - Kentucky BioProcessing,$68K-$139K (Glassdoor est.),Reynolds American,Owensboro,KY,68000,139000,103500.0,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
573,Software Engineer (Data Scientist/Software Engineer) - SISW - MG,$72K-$142K (Glassdoor est.),Mentor Graphics,Fremont,CA,72000,142000,107000.0,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
574,Data Engineer,$74K-$137K (Glassdoor est.),Maxar Technologies,Springfield,VA,74000,137000,105500.0,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD)
575,Data Engineer,$57K-$109K (Glassdoor est.),ICW Group,San Diego,CA,57000,109000,83000.0,Insurance Carriers,Insurance,$500 million to $1 billion (USD)
576,Lead Big Data Engineer,$121K-$203K (Glassdoor est.),Glassdoor,San Francisco,CA,121000,203000,162000.0,Internet,Information Technology,Unknown / Non-Applicable
577,Product Engineer – Spatial Data Science and Statistical Analysis,$52K-$85K (Glassdoor est.),Esri,Redlands,CA,52000,85000,68500.0,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
578,Sr Software Engineer (Data Scientist),$81K-$140K (Glassdoor est.),Assurant,Westlake,OH,81000,140000,110500.0,Insurance Carriers,Insurance,$5 to $10 billion (USD)
579,Sr. Data Engineer (ETL Developer),$83K-$148K (Glassdoor est.),F&G,Des Moines,IA,83000,148000,115500.0,Insurance Carriers,Insurance,$100 to $500 million (USD)
580,Associate Research Scientist I (Protein Expression and Production),$59K-$116K (Glassdoor est.),Exelixis,Alameda,CA,59000,116000,87500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
581,Senior Data Scientist Artificial Intelligence,$60K-$101K (Glassdoor est.),PNNL,Richland,WA,60000,101000,80500.0,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD)
582,Analytics - Business Assurance Data Analyst,$31K-$55K (Glassdoor est.),GreatAmerica Financial Services,Cedar Rapids,IA,31000,55000,43000.0,Lending,Finance,$100 to $500 million (USD)
583,"Associate Director/Director, Safety Scientist",$102K-$178K (Glassdoor est.),Acceleron Pharma,Cambridge,MA,102000,178000,140000.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
584,"Director, Precision Medicine Clinical Biomarker Scientist",$136K-$208K (Glassdoor est.),Pfizer,Cambridge,MA,136000,208000,172000.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
585,Data Analyst Senior,$48K-$85K (Glassdoor est.),AmeriHealth Caritas,Philadelphia,PA,48000,85000,66500.0,Insurance Carriers,Insurance,$5 to $10 billion (USD)
586,Senior Formulations Scientist II,$71K-$129K (Glassdoor est.),Exelixis,Alameda,CA,71000,129000,100000.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
587,Lead Data Engineer (Python),$66K-$123K (Glassdoor est.),Strategic Employment Partners,San Francisco,CA,66000,123000,94500.0,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
588,Data Science Manager,$171K-$272K (Glassdoor est.),Grand Rounds,San Francisco,CA,171000,272000,221500.0,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
589,Senior Data Scientist 4 Artificial Intelligence,$92K-$146K (Glassdoor est.),PNNL,Seattle,WA,92000,146000,119000.0,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD)
590,Data Engineer,$65K-$126K (Glassdoor est.),"SPINS, LLC",Chicago,IL,65000,126000,95500.0,Consulting,Business Services,$50 to $100 million (USD)
591,"Director II, Data Science - GRS Predictive Analytics",$150K-$239K (Glassdoor est.),Liberty Mutual Insurance,Chicago,IL,150000,239000,194500.0,Insurance Carriers,Insurance,$10+ billion (USD)
592,Senior Quantitative Analyst,$118K-$228K (Glassdoor est.),DTCC,Jersey City,NJ,118000,228000,173000.0,Brokerage Services,Finance,$1 to $2 billion (USD)
593,Geospatial Software Developer and Data Scientist,$82K-$129K(Employer est.),Applied Research Laboratories,Austin,TX,82000,129000,105500.0,Colleges & Universities,Education,Unknown / Non-Applicable
594,RESEARCH COMPUTER SCIENTIST - RESEARCH ENGINEER - SR. COMPUTER SCIENTIST - SOFTWARE DEVELOPMENT,$52K-$91K (Glassdoor est.),Southwest Research Institute,San Antonio,TX,52000,91000,71500.0,Research & Development,Business Services,$500 million to $1 billion (USD)
595,Senior Scientist - Toxicologist - Product Integrity (Stewardship),$47K-$101K (Glassdoor est.),Reynolds American,Winston-Salem,NC,47000,101000,74000.0,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
596,Systems Engineer II - Data Analyst,$49K-$76K (Glassdoor est.),Raytheon,Huntsville,AL,49000,76000,62500.0,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
597,Senior Research Analytical Scientist-Non-Targeted Analysis,$43K-$88K (Glassdoor est.),RTI International,Durham,NC,43000,88000,65500.0,Research & Development,Business Services,$500 million to $1 billion (USD)
598,Data Scientist,$61K-$109K (Glassdoor est.),DICK'S Sporting Goods - Corporate,Coraopolis,PA,61000,109000,85000.0,Sporting Goods Stores,Retail,$5 to $10 billion (USD)
599,Principal Data Scientist,$113K-$182K (Glassdoor est.),AstraZeneca,Gaithersburg,MD,113000,182000,147500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
600,Director Data Science,$124K-$199K (Glassdoor est.),TRANZACT,Fort Lee,NJ,124000,199000,161500.0,Advertising & Marketing,Business Services,Unknown / Non-Applicable
601,Data Engineer,$58K-$104K (Glassdoor est.),Carilion Clinic,Roanoke,VA,58000,104000,81000.0,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
602,Sr Data Analyst - IT,$52K-$93K (Glassdoor est.),United BioSource,Blue Bell,PA,52000,93000,72500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD)
603,Senior Data Engineer,$97K-$181K (Glassdoor est.),Figure Eight,San Francisco,CA,97000,181000,139000.0,Computer Hardware & Software,Information Technology,$10 to $25 million (USD)
604,Senior Data Engineer,$100K-$173K (Glassdoor est.),Tapjoy,San Francisco,CA,100000,173000,136500.0,Internet,Information Technology,$10 to $25 million (USD)
605,Sr. Data Analyst,$58K-$108K (Glassdoor est.),DoubleVerify,New York,NY,58000,108000,83000.0,Internet,Information Technology,Unknown / Non-Applicable
606,Research Scientist or Senior Research Scientist - Computer Vision,$81K-$161K (Glassdoor est.),Mitsubishi Electric Research Labs,Cambridge,MA,81000,161000,121000.0,Research & Development,Business Services,$5 to $10 million (USD)
607,Associate Machine Learning Engineer / Data Scientist May 2020 Undergrad,$53K-$96K (Glassdoor est.),Fareportal,New York,NY,53000,96000,74500.0,Travel Agencies,Travel & Tourism,$2 to $5 billion (USD)
608,Data Analyst Chemist - Quality System Contractor,$61K-$110K (Glassdoor est.),"Rodan and Fields, LLC",San Francisco,CA,61000,110000,85500.0,Beauty & Personal Accessories Stores,Retail,Unknown / Non-Applicable
609,Senior Scientist - Biostatistician,$65K-$96K (Glassdoor est.),Reynolds American,Winston-Salem,NC,65000,96000,80500.0,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
610,Research Scientist / Principal Research Scientist - Multiphysical Systems,$115K-$220K (Glassdoor est.),Mitsubishi Electric Research Labs,Cambridge,MA,115000,220000,167500.0,Research & Development,Business Services,$5 to $10 million (USD)
611,"Research Scientist, Machine Learning Department",$71K-$144K (Glassdoor est.),Software Engineering Institute,Pittsburgh,PA,71000,144000,107500.0,Colleges & Universities,Education,Unknown / Non-Applicable
612,Foundational Community Supports Data Analyst,$32K-$57K (Glassdoor est.),DESC,Seattle,WA,32000,57000,44500.0,Social Assistance,Non-Profit,$25 to $50 million (USD)
613,"Senior Health Data Analyst, Star Ratings",$79K-$136K (Glassdoor est.),Johns Hopkins Health Care,Glen Burnie,MD,79000,136000,107500.0,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
614,Sr. Data Analyst,$50K-$89K (Glassdoor est.),Community Behavioral Health,Philadelphia,PA,50000,89000,69500.0,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
615,"Senior Engineer, Data Management Engineering",$68K-$129K (Glassdoor est.),Western Digital,Milpitas,CA,68000,129000,98500.0,Computer Hardware & Software,Information Technology,$10+ billion (USD)
616,Quality Control Scientist III- Analytical Development,$48K-$113K (Glassdoor est.),Advanced BioScience Laboratories,Rockville,MD,48000,113000,80500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD)
617,Software Engineer Staff Scientist: Human Language Technologies,$74K-$124K (Glassdoor est.),Raytheon,Cambridge,MD,74000,124000,99000.0,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
618,"Manager, Safety Scientist, Medical Safety & Risk Management",$68K-$125K (Glassdoor est.),Agios Pharmaceuticals,Cambridge,MA,68000,125000,96500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD)
619,"Assistant Director/Director, Office of Data Science",$39K-$67K (Glassdoor est.),Liberty Mutual Insurance,Boston,MA,39000,67000,53000.0,Insurance Carriers,Insurance,$10+ billion (USD)
620,Sr. Data Engineer | Big Data SaaS Pipeline,$71K-$135K (Glassdoor est.),Bridg,Los Angeles,CA,71000,135000,103000.0,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
621,Senior Risk Data Scientist,$107K-$172K (Glassdoor est.),Bill.com,Palo Alto,CA,107000,172000,139500.0,Financial Transaction Processing,Finance,$50 to $100 million (USD)
622,Data Scientist in Artificial Intelligence Early Career,$49K-$85K (Glassdoor est.),Pacific Northwest National Laboratory,Richland,WA,49000,85000,67000.0,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD)
623,Consultant - Analytics Consulting,$54K-$71K (Glassdoor est.),Infosys,Hartford,CT,54000,71000,62500.0,IT Services,Information Technology,$10+ billion (USD)
624,Scientist - CVRM Metabolism - in vivo pharmacology,$61K-$123K (Glassdoor est.),AstraZeneca,Gaithersburg,MD,61000,123000,92000.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
625,Data Analyst,$47K-$85K (Glassdoor est.),AXION Healthcare Solutions,New York,NY,47000,85000,66000.0,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD)
626,Data Engineer,$65K-$124K (Glassdoor est.),Alignment Healthcare,Orange,CA,65000,124000,94500.0,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
627,Data Scientist,$87K-$141K (Glassdoor est.),TRANZACT,Fort Lee,NJ,87000,141000,114000.0,Advertising & Marketing,Business Services,Unknown / Non-Applicable
628,Data Scientist,$56K-$95K (Glassdoor est.),ExecOnline,New York,NY,56000,95000,75500.0,Education Training Services,Education,Unknown / Non-Applicable
629,Data Scientist,$71K-$121K (Glassdoor est.),Charter Spectrum,Maryland Heights,MO,71000,121000,96000.0,K-12 Education,Education,$5 to $10 million (USD)
630,Machine Learning Engineer,$62K-$112K (Glassdoor est.),Mteq,Fort Belvoir,VA,62000,112000,87000.0,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD)
631,Data Scientist,$64K-$108K (Glassdoor est.),Brillient,Silver Spring,MD,64000,108000,86000.0,IT Services,Information Technology,$25 to $50 million (USD)
632,Senior Data Scientist,$89K-$144K (Glassdoor est.),Entefy,Palo Alto,CA,89000,144000,116500.0,Internet,Information Technology,Unknown / Non-Applicable
633,Senior Scientist (Neuroscience),$109K-$200K (Glassdoor est.),Sunovion,Marlborough,MA,109000,200000,154500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD)
634,Marketing Data Analyst,$35K-$62K (Glassdoor est.),San Manuel Casino,Highland,CA,35000,62000,48500.0,Gambling,"Arts, Entertainment & Recreation",$100 to $500 million (USD)
635,Machine Learning Engineer - Regulatory,$61K-$113K (Glassdoor est.),Cboe Global Markets,Lenexa,KS,61000,113000,87000.0,Stock Exchanges,Finance,$500 million to $1 billion (USD)
636,Data Engineer,$55K-$105K (Glassdoor est.),Trace3,Houston,TX,55000,105000,80000.0,IT Services,Information Technology,$1 to $2 billion (USD)
637,Principal Data Scientist,$135K-$211K (Glassdoor est.),Northrop Grumman,San Jose,CA,135000,211000,173000.0,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
638,R&D Specialist/ Food Scientist,$39K-$66K (Glassdoor est.),Teasdale Latin Foods,Hoopeston,IL,39000,66000,52500.0,Food & Beverage Manufacturing,Manufacturing,$100 to $500 million (USD)
639,Data Engineer,$57K-$80K (Glassdoor est.),Saama Technologies Inc,Phoenix,AZ,57000,80000,68500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
640,"Associate Principal Scientist, Pharmacogenomics",$63K-$127K (Glassdoor est.),AstraZeneca,Gaithersburg,MD,63000,127000,95000.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
641,Data Scientist - Systems Engineering,$50K-$89K (Glassdoor est.),MITRE,Bedford,MA,50000,89000,69500.0,Federal Agencies,Government,$1 to $2 billion (USD)
642,Senior Data Scientist,$82K-$132K (Glassdoor est.),The David J. Joseph Company,Cincinnati,OH,82000,132000,107000.0,Metals Brokers,Mining & Metals,Unknown / Non-Applicable
643,Data Scientist SR,$85K-$139K (Glassdoor est.),The Buffalo Group,Charlottesville,VA,85000,139000,112000.0,IT Services,Information Technology,$100 to $500 million (USD)
644,Data Scientist,$72K-$121K (Glassdoor est.),CompQsoft,Washington,DC,72000,121000,96500.0,Consulting,Business Services,$10 to $25 million (USD)
645,"Scientist, Bacteriology",$74K-$149K (Glassdoor est.),Cerus Corporation,Concord,CA,74000,149000,111500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD)
646,"Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence",$113K-$196K (Glassdoor est.),Takeda Pharmaceuticals,Cambridge,MA,113000,196000,154500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
647,Data Scientist,$69K-$121K (Glassdoor est.),"Remedy BPCI Partners, LLC.",New York,NY,69000,121000,95000.0,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
648,Data Scientist,$71K-$124K (Glassdoor est.),Strategic Financial Solutions,New York,NY,71000,124000,97500.0,Consumer Product Rental,Consumer Services,Unknown / Non-Applicable
649,Senior Data Scientist,$97K-$160K (Glassdoor est.),Maven Wave Partners,Chicago,IL,97000,160000,128500.0,Consulting,Business Services,$50 to $100 million (USD)
650,Senior Research Scientist-Machine Learning,$81K-$167K (Glassdoor est.),Software Engineering Institute,Pittsburgh,PA,81000,167000,124000.0,Colleges & Universities,Education,Unknown / Non-Applicable
651,Principal Data Scientist,$150K-$238K (Glassdoor est.),The Climate Corporation,San Francisco,CA,150000,238000,194000.0,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
652,"Data Analyst 1, full-time contract worker for up to 12 months",$35K-$65K (Glassdoor est.),The Church of Jesus Christ of Latter-day Saints,Salt Lake City,UT,35000,65000,50000.0,Religious Organizations,Non-Profit,Unknown / Non-Applicable
653,Data Scientist,$77K-$132K (Glassdoor est.),Crossix Solutions,New York,NY,77000,132000,104500.0,Advertising & Marketing,Business Services,Unknown / Non-Applicable
654,Data Scientist,$51K-$88K (Glassdoor est.),Solugenix Corporation,Phoenix,AZ,51000,88000,69500.0,IT Services,Information Technology,$50 to $100 million (USD)
655,Data Scientist,$101K-$141K (Glassdoor est.),West Coast University,Irvine,CA,101000,141000,121000.0,Colleges & Universities,Education,Unknown / Non-Applicable
656,Data Engineer - Consultant (Charlotte Based),$59K-$112K (Glassdoor est.),Clarity Insights,Charlotte,NC,59000,112000,85500.0,IT Services,Information Technology,Unknown / Non-Applicable
657,Data Engineer,$79K-$147K (Glassdoor est.),NCSOFT,Aliso Viejo,CA,79000,147000,113000.0,Video Games,Media,$10+ billion (USD)
658,Data Scientist (Warehouse Automation),$79K-$127K (Glassdoor est.),SoftBank Robotics,San Francisco,CA,79000,127000,103000.0,Consumer Products Manufacturing,Manufacturing,$25 to $50 million (USD)
659,"Scientist, Immuno-Oncology",$62K-$119K (Glassdoor est.),GSK,Cambridge,MA,62000,119000,90500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
660,Senior Data Scientist,$119K-$187K (Glassdoor est.),Factual,Los Angeles,CA,119000,187000,153000.0,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
661,Jr. Data Scientist,$81K-$132K (Glassdoor est.),MITRE,McLean,VA,81000,132000,106500.0,Federal Agencies,Government,$1 to $2 billion (USD)
662,Senior Data Scientist,Employer Provided Salary:$120K-$140K,SkySync,Ann Arbor,MI,120000,140000,130000.0,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
663,Products Data Analyst II,$90K-$157K (Glassdoor est.),TriNet,Dublin,CA,90000,157000,123500.0,Consulting,Business Services,$2 to $5 billion (USD)
664,Data Architect / Data Modeler,$63K-$110K (Glassdoor est.),Medidata Solutions,New York,NY,63000,110000,86500.0,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD)
665,Analytics Manager - Data Mart,$42K-$86K (Glassdoor est.),Central California Alliance for Health,Scotts Valley,CA,42000,86000,64000.0,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
666,Lead Data Analyst,$32K-$62K (Glassdoor est.),Signpost,New York,NY,32000,62000,47000.0,Internet,Information Technology,$10 to $25 million (USD)
667,Data Science Engineer - Mobile,$116K-$208K (Glassdoor est.),Adobe,San Jose,CA,116000,208000,162000.0,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD)
668,Senior Data Scientist Oncology,$107K-$173K (Glassdoor est.),AstraZeneca,Gaithersburg,MD,107000,173000,140000.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
669,Data Scientist,$65K-$113K (Glassdoor est.),"DatamanUSA, LLC",Olympia,WA,65000,113000,89000.0,IT Services,Information Technology,$5 to $10 million (USD)
670,Sr. Data Engineer - Contract-to-Hire (Java),$69K-$127K (Glassdoor est.),Pilot Flying J Travel Centers LLC,Knoxville,TN,69000,127000,98000.0,Gas Stations,Retail,$10+ billion (USD)
671,Senior Data Scientist - R&D Oncology,$102K-$172K (Glassdoor est.),AstraZeneca,New York,NY,102000,172000,137000.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
672,Data Engineer,$74K-$124K (Glassdoor est.),Pinnacol Assurance,Denver,CO,74000,124000,99000.0,Insurance Carriers,Insurance,$500 million to $1 billion (USD)
673,Food Scientist - Developer,$40K-$68K (Glassdoor est.),Palermo's Pizza,Milwaukee,WI,40000,68000,54000.0,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable
674,Senior Data Engineer,$76K-$142K (Glassdoor est.),Equian LLC,Franklin,TN,76000,142000,109000.0,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
675,Data Engineer,$76K-$142K (Glassdoor est.),MetroStar Systems,Rockville,MD,76000,142000,109000.0,IT Services,Information Technology,$25 to $50 million (USD)
676,Senior Data Scientist,$108K-$171K (Glassdoor est.),MathWorks,Natick,MA,108000,171000,139500.0,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
677,"Director II, Data Science - GRM Actuarial",$202K-$306K (Glassdoor est.),Liberty Mutual Insurance,Chicago,IL,202000,306000,254000.0,Insurance Carriers,Insurance,$10+ billion (USD)
678,Machine Learning Engineer,$91K-$159K (Glassdoor est.),Information Builders,New York,NY,91000,159000,125000.0,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
679,"Sr Expert Data Science, Advanced Visual Analytics (Associate level)",$80K-$133K (Glassdoor est.),Novartis,Cambridge,MA,80000,133000,106500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
680,"Scientist, Molecular/Cellular Biologist",$49K-$97K (Glassdoor est.),Audentes Therapeutics,South San Francisco,CA,49000,97000,73000.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
681,Staff Scientist-Downstream Process Development,$49K-$113K (Glassdoor est.),Advanced BioScience Laboratories,Rockville,MD,49000,113000,81000.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD)
682,Data Scientist,$96K-$161K (Glassdoor est.),"Numeric, LLC",Philadelphia,PA,96000,161000,128500.0,Staffing & Outsourcing,Business Services,$5 to $10 million (USD)
683,Scientist - Analytical Services,$65K-$134K (Glassdoor est.),Reynolds American,Winston-Salem,NC,65000,134000,99500.0,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
684,"Associate Scientist / Sr. Associate Scientist, Antibody Discovery",$59K-$125K (Glassdoor est.),23andMe,South San Francisco,CA,59000,125000,92000.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
685,Associate Data Analyst- Graduate Development Program,$32K-$59K (Glassdoor est.),National Interstate,Richfield,OH,32000,59000,45500.0,Insurance Carriers,Insurance,$500 million to $1 billion (USD)
686,Sr. Data Engineer,$87K-$158K (Glassdoor est.),Moser Consulting,Indianapolis,IN,87000,158000,122500.0,Consulting,Business Services,$25 to $50 million (USD)
687,Clinical Data Analyst,$27K-$48K (Glassdoor est.),Greenway Health,Tampa,FL,27000,48000,37500.0,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
688,IT Associate Data Analyst,$39K-$69K (Glassdoor est.),The Hanover Insurance Group,Worcester,MA,39000,69000,54000.0,Insurance Carriers,Insurance,$5 to $10 billion (USD)
689,Business Data Analyst,$36K-$71K (Glassdoor est.),Fareportal,New York,NY,36000,71000,53500.0,Travel Agencies,Travel & Tourism,$2 to $5 billion (USD)
690,Senior Insurance Data Scientist,$107K-$173K (Glassdoor est.),TransUnion,Chicago,IL,107000,173000,140000.0,Financial Analytics & Research,Finance,$1 to $2 billion (USD)
691,Senior Data Science Systems Engineer,$56K-$99K (Glassdoor est.),MITRE,Hampton,VA,56000,99000,77500.0,Federal Agencies,Government,$1 to $2 billion (USD)
692,Senior Scientist - Regulatory Submissions,$80K-$155K (Glassdoor est.),Reynolds American,Winston-Salem,NC,80000,155000,117500.0,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
693,Scientist - Biomarker and Flow Cytometry,$43K-$98K (Glassdoor est.),Crown Bioscience,San Diego,CA,43000,98000,70500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD)
694,Revenue Analytics Manager,$45K-$78K (Glassdoor est.),HOVER,San Francisco,CA,45000,78000,61500.0,Computer Hardware & Software,Information Technology,$25 to $50 million (USD)
695,Sr. Scientist Method Development,$50K-$110K (Glassdoor est.),Q2 Solutions,Marietta,GA,50000,110000,80000.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
696,"Associate Scientist, LC/MS Biologics",$44K-$96K (Glassdoor est.),Q2 Solutions,Ithaca,NY,44000,96000,70000.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
697,IT - Data Engineer II,$61K-$119K (Glassdoor est.),Arbella Insurance,Quincy,MA,61000,119000,90000.0,Insurance Carriers,Insurance,$100 to $500 million (USD)
698,Machine Learning Engineer (NLP),$80K-$142K (Glassdoor est.),CK-12 Foundation,Palo Alto,CA,80000,142000,111000.0,K-12 Education,Education,Unknown / Non-Applicable
699,Senior Data Analyst,$99K-$178K (Glassdoor est.),Life360,San Francisco,CA,99000,178000,138500.0,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
700,Data Science Project Manager,$37K-$100K (Glassdoor est.),MassMutual,Boston,MA,37000,100000,68500.0,Insurance Carriers,Insurance,$10+ billion (USD)
701,Data Engineer,$62K-$113K (Glassdoor est.),Fivestars,San Francisco,CA,62000,113000,87500.0,Internet,Information Technology,$100 to $500 million (USD)
702,"Principal, Data Science - Advanced Analytics",$86K-$137K (Glassdoor est.),IQVIA,Plymouth Meeting,PA,86000,137000,111500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
703,"Sr Scientist, Immuno-Oncology - Oncology",$58K-$111K (Glassdoor est.),GSK,Cambridge,MA,58000,111000,84500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
704,Senior Data Engineer,$72K-$133K (Glassdoor est.),Eventbrite,Nashville,TN,72000,133000,102500.0,Internet,Information Technology,$100 to $500 million (USD)
705,"Project Scientist - Auton Lab, Robotics Institute",$56K-$91K (Glassdoor est.),Software Engineering Institute,Pittsburgh,PA,56000,91000,73500.0,Colleges & Universities,Education,Unknown / Non-Applicable
706,Data Science Manager,$95K-$160K (Glassdoor est.),"Numeric, LLC",Allentown,PA,95000,160000,127500.0,Staffing & Outsourcing,Business Services,$5 to $10 million (USD)
707,Research Scientist – Security and Privacy,$61K-$126K (Glassdoor est.),Riverside Research Institute,Beavercreek,OH,61000,126000,93500.0,Federal Agencies,Government,$50 to $100 million (USD)
